Subj,Class,risk_2d
1,0,25.116
2,0,-0.304999999999999
3,0,-6.716
4,1,8.893
5,1,13.156
6,0,-10.673
7,0,17.234
8,1,-4.368
9,0,6.426
10,0,17.399
11,0,2.817
12,1,14.689
13,0,-11.958
14,0,11.836
15,0,15.269
16,1,-1.413
17,0,-7.416
18,0,21.963
19,1,-7.022
20,0,-1.209
21,0,-20.244
22,0,-30.861
23,0,-13.313
24,1,1.982
25,1,10.573
26,1,1.905
27,1,3.228
28,0,8.448
29,1,7.779
30,0,-4.104
31,0,8.909
32,0,17.695
33,1,10.992
34,1,-9.526
35,0,6.697
36,1,15.378
37,1,-1.163
38,0,-8.909
39,1,-4.06
40,0,6.637
41,0,-1.934
42,1,-16.612
43,0,29.768
44,1,8.091
45,1,12.594
46,0,14.512
47,1,-10.874
48,1,12.212
49,1,-9.681
50,0,-9.669
51,0,15.35
52,0,-12.268
53,1,-7.618
54,1,6.263
55,1,-7.736
56,1,0.125
57,1,0.800000000000003
58,1,12.562
59,1,-12.363
60,1,22.817
61,1,10.128
62,1,5.825
63,0,5.24
64,1,16.891
65,1,2.87
66,0,-7.183
67,0,24.089
68,1,11.952
69,0,-0.558
70,0,-5.623
71,0,7.552
72,0,-30.861
73,1,24.986
74,1,15.11
75,0,-15.387
76,1,-2.619
77,0,-10.8
78,1,15.044
79,0,-10.836
80,1,-3.928
81,0,38.375
82,0,4.93
83,0,12.097
84,0,14.617
85,1,32.034
86,1,-4.835
87,0,3.718
88,0,19.801
89,0,-3.041
90,1,-0.0330000000000008
91,0,-5.004
92,0,29.318
93,1,8.126
94,1,12.722
95,0,-10.464
96,0,-7.901
97,0,9.914
98,1,1.665
99,1,-4.232
100,1,-19.237
101,1,12.508
102,1,-9.874
103,0,14.007
104,0,2.228
105,0,19.752
106,0,2.619
107,0,38.533
108,1,-2.519
109,1,-1.601
110,1,-1.47
111,0,-19.511
112,1,-0.396
113,0,18.081
114,0,-10.673
115,1,-1.614
116,0,14.84
117,0,5.137
118,1,-6.192
119,1,7.852
120,0,20.861
121,0,-2.695
122,1,10.607
123,1,4.232
124,1,20.729
125,0,-6.498
126,1,8.523
127,0,13.734
128,0,-1.29
129,1,9.931
130,0,24.025
131,1,-5.18
132,0,5.88
133,1,-14.938
134,1,0.982000000000001
135,0,-13.637
136,1,3.99
137,0,-9.37
138,0,3.678
139,0,-12.454
140,0,13.928
141,1,-2.238
142,0,5.085
143,1,-6.242
144,1,7.779
145,0,5.24
146,1,-14.173
147,1,4.328
148,0,3.001
149,1,-9.059
150,0,10.586
151,0,13.912
152,0,1.161
153,0,2.827
154,0,24.458
155,1,17.695
156,0,7.286
157,0,3.513
158,0,14.11
159,0,1.206
160,1,7.374
161,0,-2.737
162,1,18.122
163,1,-1.815
164,0,-15.18
165,1,6.299
166,1,-12.904
167,1,33.314
168,0,-6.444
169,1,-3.247
170,0,-0.0329999999999999
171,1,19.84
172,0,-11.283
173,0,2.41
174,0,5.764
175,1,-16.944
176,1,11.068
177,1,4.351
178,1,18.748
179,1,3.99
180,0,20.147
181,1,10.429
182,1,-10.254
183,1,-21.183
184,0,1.037
185,1,24.165
186,1,0.699999999999999
187,0,14.959
188,0,-6.498
189,1,3.408
190,1,12.707
191,1,-12.577
192,1,8.227
193,0,8.759
194,0,12.132
195,1,6.844
196,0,0.437
197,0,-1.853
198,0,-18.45
199,1,8.985
200,1,-11.007
